"TOA5","HCHO_landfill_met","CR1000","50904","CR1000.Std.28.02","CPU:hcho-landfill-wx.cr1","3570","halfhourly"
"TIMESTAMP","RECORD","P_10m_Avg","T_10m_Avg","RH_10m_Avg","WS_10m_Avg","WD_10m_unit_Avg","WD_10m_epa_Std","T_2m_Avg","RH_2m_Avg"
"TS","RN","mbar","degC","","m/s","degTN","deg","degC",""
"","","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Avg"
"2016-06-23 00:30:00",34,1009.094,19.55,37.01,2.746,236.2,9.68,19.63,41.37
"2016-06-23 01:00:00",35,1009.11,19.16,39.08,2.416,251.9,11.17,19.36,43.65
"2016-06-23 01:30:00",36,1009.21,18.91,40.36,1.465,231.3,12.31,18.65,46.63
"2016-06-23 02:00:00",37,1009.407,18.31,42.2,1.634,233.9,36.01,17.79,49.79
"2016-06-23 02:30:00",38,1009.455,17.71,45.4,1.722,233.6,10.93,17.15,53.47
"2016-06-23 03:00:00",39,1009.644,17.04,48.91,2.583,253.8,16.18,17.08,55.89
"2016-06-23 03:30:00",40,1010.027,16.5,51.23,1.429,251.4,25.91,16.35,59.69
"2016-06-23 04:00:00",41,1010.228,15.58,53.9,2.221,237.1,5.952,15.13,63.9
"2016-06-23 04:30:00",42,1010.58,14.94,55.66,2.108,231.9,10.38,14.71,65.34
"2016-06-23 05:00:00",43,1011,16.54,52.23,0.876,159,69.33,15.76,61.55
"2016-06-23 05:30:00",44,1011.448,17.62,50.14,0.442,357,72.52,16.39,61.32
"2016-06-23 06:00:00",45,1011.819,17.85,47.88,0.613,258,91.4,16.68,59.63
"2016-06-23 06:30:00",46,1012.161,18.02,47.54,0.612,300.3,76.76,17.09,58.8
"2016-06-23 07:00:00",47,1012.436,19.59,45.16,0.583,258.9,51.52,18.14,55.19
"2016-06-23 07:30:00",48,1012.688,22.85,39.21,1.123,153.6,66.71,20.78,47.05
"2016-06-23 08:00:00",49,1012.665,23.08,32.36,2.327,123,24.04,22.77,37.79
"2016-06-23 08:30:00",50,1012.592,25.08,25.77,5.463,297.3,70.72,24.54,28.72
"2016-06-23 09:00:00",51,1012.391,24.46,23.86,6.741,291.2,13.59,24.67,25.24
"2016-06-23 09:30:00",52,1012.521,23.8,25.79,6.252,300,11.57,24.07,27.62
"2016-06-23 10:00:00",53,1012.755,23.41,28.22,5.509,304.1,13.47,23.8,30.26
"2016-06-23 10:30:00",54,1012.92,23.9,27.73,5.126,308.1,15.06,24.19,29.88
